"year","year_arrest_juveniles","year_arrest_adult","total"
1994,2220784,9742152,11962936
1995,2227408,9834654,12062062
1996,2159457,9259837,11419294
1997,2144632,9454807,11599439
1998,1954723,9291469,11246192
1999,1765550,8897400,10662950
2000,1733097,8964238,10697335
2001,1723268,9040623,10763891
2002,1707837,8740017,10447854
2003,1676919,8644571,10321490
2004,1650066,8893755,10543821
2005,1669020,9242920,10911940
2006,1688403,9219299,10907702
2007,1710149,9419587,11129736
2008,1669658,9433013,11102671
2009,1540076,9524037,11064113
2010,1387969,9221217,10609186
2011,1239778,8748808,9988586
2012,1131418,8818851,9950269
2013,1033191,8581052,9614243
2014,872243,8169720,9041963
2015,792796,8031139,8823935
2016,742483,8075886,8818369
